L_tube,D_int,D_ext,N_p,DP_t,DP_t_kPa,D_s,D_s_mm,N_tt,U_o_calc,valid
2.5,0.008,0.02,8,402911.264424605,402.911264424605,0.2322511486329,232.2511486329,14.8024471134436,5.80044320665919,0
2.5,0.01,0.014,2,1840.71522408004,1.84071522408004,0.215095227508116,215.095227508116,18.9988511443607,5.67987927663578,1
2.5,0.01,0.014,4,12750.2935080892,12.7502935080892,0.215095227508116,215.095227508116,18.9988511443607,6.08057811827151,0
2.5,0.01,0.014,6,39942.9432717854,39.9429432717854,0.215095227508116,215.095227508116,18.9988511443607,6.2452660308909,0
2.5,0.01,0.014,8,90190.4781171396,90.1904781171396,0.215095227508116,215.095227508116,18.9988511443607,6.33735937551701,0
2.5,0.01,0.016,2,2161.45723047724,2.16145723047724,0.220783976748331,220.783976748331,17.3585072795821,5.50569886328212,1
2.5,0.01,0.016,4,15013.3053780985,15.0133053780985,0.220783976748331,220.783976748331,17.3585072795821,5.88870841663477,0
2.5,0.01,0.016,6,47106.8767034432,47.1068767034432,0.220783976748331,220.783976748331,17.3585072795821,6.04592253014685,0
2.5,0.01,0.016,8,106483.269138763,106.483269138763,0.220783976748331,220.783976748331,17.3585072795821,6.13378493434752,0
2.5,0.01,0.018,2,2505.31898876061,2.50531898876061,0.226511128309713,226.511128309713,15.9789030408911,5.35177086347771,1
2.5,0.01,0.018,4,17445.7054891248,17.4457054891248,0.226511128309713,226.511128309713,15.9789030408911,5.71940745703825,0
2.5,0.01,0.018,6,54818.1464698028,54.8181464698028,0.226511128309713,226.511128309713,15.9789030408911,5.8701380250798,0
2.5,0.01,0.018,8,124038.068228228,124.038068228228,0.226511128309713,226.511128309713,15.9789030408911,5.95433305967274,0
2.5,0.01,0.02,2,2872.03667374988,2.87203667374988,0.2322511486329,232.2511486329,14.8024471134436,5.21345207854015,1
2.5,0.01,0.02,4,20045.9163256781,20.0459163256781,0.2322511486329,232.2511486329,14.8024471134436,5.56744466699726,0
2.5,0.01,0.02,6,63072.2621289734,63.0722621289734,0.2322511486329,232.2511486329,14.8024471134436,5.71242911097488,0
2.5,0.01,0.02,8,142845.442794156,142.845442794156,0.2322511486329,232.2511486329,14.8024471134436,5.79337602059406,0
2.5,0.012,0.016,2,932.92625903586,0.93292625903586,0.220783976748331,220.783976748331,17.3585072795821,5.39882495617101,1
2.5,0.012,0.016,4,6474.92343151349,6.47492343151349,0.220783976748331,220.783976748331,17.3585072795821,5.82896812098625,1
2.5,0.012,0.016,6,20307.0098412692,20.3070098412692,0.220783976748331,220.783976748331,17.3585072795821,6.00789174171097,0
2.5,0.012,0.016,8,45888.8334031249,45.8888334031248,0.220783976748331,220.783976748331,17.3585072795821,6.10849529006894,0
2.5,0.012,0.018,2,1081.24162267187,1.08124162267187,0.226511128309713,226.511128309713,15.9789030408911,5.25057449041656,1
2.5,0.012,0.018,4,7523.26446371489,7.52326446371489,0.226511128309713,226.511128309713,15.9789030408911,5.66384392253117,0
